date,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,
2021-08-23_16:34:04.299170,97 degC,37.5 gps,25.88235294117647 percent,39 degC,21.5 degree,62.35294117647059 percent,13.5 volt,73.0 kph,0.0390625 milliampere,-0.03125 milliampere,0.445 volt,0.71 volt,-3.125 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:34:04.799184,97 degC,37.5 gps,25.88235294117647 percent,39 degC,21.5 degree,62.35294117647059 percent,13.5 volt,73.0 kph,0.0390625 milliampere,-0.03125 milliampere,0.445 volt,0.745 volt,-3.90625 percent,3.125 percent,-2.34375 percent,-0.78125 percent,
2021-08-23_16:34:05.299208,97 degC,36.25 gps,25.49019607843137 percent,39 degC,21.5 degree,61.568627450980394 percent,13.5 volt,75.0 kph,0.03515625 milliampere,0.015625 milliampere,0.445 volt,0.735 volt,0.78125 percent,3.125 percent,0.0 percent,-0.78125 percent,
2021-08-23_16:34:05.799230,97 degC,38.5 gps,26.666666666666668 percent,39 degC,21.5 degree,63.92156862745098 percent,13.4 volt,75.0 kph,0.02734375 milliampere,0.015625 milliampere,0.445 volt,0.735 volt,0.78125 percent,3.125 percent,0.0 percent,-0.78125 percent,
2021-08-23_16:34:06.299328,97 degC,38.5 gps,26.666666666666668 percent,39 degC,21.5 degree,63.92156862745098 percent,13.4 volt,75.0 kph,0.02734375 milliampere,0.015625 milliampere,0.445 volt,0.73 volt,0.78125 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:06.799333,97 degC,40.75 gps,27.058823529411764 percent,39 degC,21.0 degree,66.66666666666667 percent,13.5 volt,76.0 kph,0.01953125 milliampere,-0.01953125 milliampere,0.445 volt,0.735 volt,0.78125 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:07.299322,97 degC,40.0 gps,26.666666666666668 percent,39 degC,21.0 degree,66.66666666666667 percent,13.5 volt,76.0 kph,0.01953125 milliampere,-0.01953125 milliampere,0.445 volt,0.735 volt,-0.78125 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:34:07.799283,97 degC,40.0 gps,26.666666666666668 percent,39 degC,21.5 degree,65.88235294117646 percent,13.5 volt,76.0 kph,-0.01953125 milliampere,-0.0234375 milliampere,0.445 volt,0.735 volt,-2.34375 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:34:08.299240,97 degC,39.25 gps,26.274509803921568 percent,39 degC,21.5 degree,64.31372549019608 percent,13.5 volt,76.0 kph,-0.01953125 milliampere,-0.0234375 milliampere,0.445 volt,0.735 volt,-2.34375 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:34:08.799229,97 degC,39.25 gps,26.274509803921568 percent,39 degC,21.5 degree,64.31372549019608 percent,13.5 volt,77.0 kph,-0.03515625 milliampere,-0.046875 milliampere,0.445 volt,0.735 volt,-1.5625 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:09.299227,97 degC,39.0 gps,26.274509803921568 percent,39 degC,22.5 degree,63.13725490196079 percent,13.5 volt,77.0 kph,0.00390625 milliampere,0.0 milliampere,0.445 volt,0.735 volt,-1.5625 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:09.799231,97 degC,57.5 gps,36.07843137254902 percent,39 degC,22.5 degree,63.13725490196079 percent,13.5 volt,77.0 kph,0.00390625 milliampere,0.0 milliampere,0.445 volt,0.73 volt,0.78125 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:34:10.299218,97 degC,57.5 gps,36.07843137254902 percent,38 degC,18.0 degree,84.31372549019608 percent,13.5 volt,78.0 kph,-0.1328125 milliampere,-0.12109375 milliampere,0.445 volt,0.72 volt,-6.25 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:34:10.799212,97 degC,54.5 gps,33.72549019607843 percent,38 degC,18.5 degree,79.2156862745098 percent,13.5 volt,80.0 kph,-0.1328125 milliampere,-0.12109375 milliampere,0.445 volt,0.72 volt,-6.25 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:34:11.299221,97 degC,54.5 gps,33.72549019607843 percent,38 degC,18.5 degree,79.2156862745098 percent,13.5 volt,80.0 kph,0.015625 milliampere,0.03125 milliampere,0.445 volt,0.55 volt,-1.5625 percent,3.125 percent,5.46875 percent,-0.78125 percent,
